,prediction
18986,0.78703827
6731,0.29632166
3643,0.41077793
9483,0.81030643
10236,0.89087963
934,0.70965874
567,0.6056824
4413,0.6623991
3500,0.49406594
15798,0.63903254
12205,0.61689496
15781,0.95781237
3351,0.5820147
9857,0.09722232
21077,0.60878867
21574,0.5433253
1463,0.62780374
4748,0.5088212
12061,0.59837914
3109,0.6188072
10084,0.97921056
9726,0.6632017
4593,0.5360463
898,0.6909099
9001,0.7316987
12055,0.45224708
21078,0.5782225
9661,0.38197765
15797,0.3676142
3922,0.57672143
1728,0.7527501
9381,0.12065037
18034,0.75070345
21327,0.55480474
15233,0.87765914
10303,0.7187706
16093,0.5272099
6586,0.76732874
4733,0.5834963
19376,0.47726
1301,0.6394103
1262,0.68061674
19428,0.6030815
20819,0.49571463
6098,0.8200249
6765,0.8809258
18581,0.7821667
9466,0.7451631
4090,0.5669074
16498,0.37153947
9612,0.09823479
16069,0.42925423
28,0.738354
6301,0.9805413
3431,0.55720127
1768,0.71935695
17915,0.6392991
18135,0.51360893
9444,0.31484693
4062,0.6236125
863,0.7026794
9847,0.93168557
925,0.70948017
6893,0.4138992
18262,0.6732517
18812,0.5828902
244,0.5828192
1460,0.774692
334,0.74001086
4722,0.44543812
1514,0.6835963
4069,0.5922404
4392,0.6183847
3711,0.564343
12570,0.55291826
15035,0.4479864
19490,0.5360043
12972,0.9830141
13375,0.2682323
21608,0.5315387
13585,0.911878
10129,0.14122541
15313,0.8111489
8970,0.30434355
12476,0.5168233
9470,0.4652603
7429,0.9312575
18985,0.79087716
10305,0.9788184
7509,0.28632146
9800,0.17634995
6442,0.26651254
19039,0.7100842
10117,0.23763612
12014,0.85424936
13463,0.968137
18800,0.69242114
14942,0.76140493
10079,0.32261658
958,0.6779208
16252,0.7109724
17847,0.75492203
12159,0.571753
15032,0.8304461
6019,0.50686234
16035,0.8160737
16293,0.3734873
20869,0.55769557
18545,0.5429552
15585,0.4344254
6939,0.6111846
6903,0.90724355
13015,0.6130902
12495,0.6320891
6680,0.9578802
8996,0.8900639
10423,0.38870317
19485,0.71376723
6753,0.39354196
15399,0.44808978
1620,0.6230234
21482,0.5600729
3193,0.5703382
10629,0.109244354
13631,0.41251662
10065,0.6975606
298,0.6974106
14843,0.6527513
6095,0.995274
10147,0.41475248
15726,0.66825056
12598,0.29657412
7331,0.24217206
694,0.67943317
9544,0.15126085
7416,0.5981202
104,0.75880486
21160,0.6007134
569,0.64591736
315,0.8022761
21298,0.6627298
13151,0.5852062
11915,0.4035947
3986,0.6483129
13559,0.742093
10604,0.9728687
15240,0.16136307
12101,0.8203015
16368,0.50007355
12229,0.78038555
19437,0.71104026
15495,0.975064
13199,0.7032443
16266,0.6241662
7110,0.6123643
13095,0.35673514
6523,0.69288945
3666,0.5582823
12511,0.5690152
21083,0.7059924
9355,0.2985746
14857,0.96017367
12946,0.5257559
7057,0.92537147
8878,0.39293194
9613,0.8757574
12463,0.44505298
20767,0.7011765
10534,0.9865066
20856,0.6980507
9508,0.55591536
6563,0.90091616
7342,0.20752966
4736,0.5019427
19304,0.55931914
7048,0.20779221
16155,0.43863237
13216,0.47085974
6780,0.8491134
7140,0.59345984
12514,0.85999835
9552,0.6670184
15777,0.62176085
6550,0.28287748
9413,0.06267688
20921,0.7384483
7196,0.56088245
7076,0.6422116
3511,0.544795
13400,0.45924115
8909,0.5081268
1213,0.70428985
12294,0.32239765
18946,0.8576154
16033,0.9009038
15023,0.7236135
15104,0.72870535
4294,0.6255385
15069,0.9264625
9030,0.09884785
4208,0.8221813
4454,0.15836856
6303,0.2876453
16224,0.399341
21615,0.52616584
13425,0.5483099
9532,0.08787473
4072,0.671812
4429,0.6027668
10015,0.6815442
10234,0.124191776
15994,0.84684366
387,0.7289232
6998,0.28542292
20814,0.6465648
719,0.62389964
9313,0.12008015
16167,0.60926485
12066,0.16440585
13391,0.6771599
46,0.6365336
1631,0.6943891
940,0.59085965
18902,0.48445022
18597,0.7924406
9799,0.62846315
19189,0.5378011
18152,0.25073266
15951,0.67499065
12733,0.3570405
16099,0.20480564
6360,0.77206725
15051,0.592269
9622,0.67396945
613,0.6579781
12983,0.5372549
1673,0.3803824
19083,0.8609114
280,0.79172343
2989,0.5768815
7487,0.9061869
10613,0.83733386
18785,0.4533202
3390,0.5313702
3558,0.48163855
15137,0.7179259
4180,0.6415444
228,0.6332488
12251,0.83933395
6572,0.8646786
239,0.690067
13529,0.85134286
16320,0.82433796
367,0.67472583
15557,0.9255048
930,0.65527123
4174,0.58586866
9258,0.9451743
1052,0.76965857
4300,0.6457733
6626,0.5834674
9455,0.075260304
18130,0.70002747
9606,0.79904246
20760,0.6281021
3822,0.610338
7455,0.7734635
3459,0.5722853
13430,0.87860817
845,0.73409945
7157,0.61010396
7098,0.2447031
4618,0.56523705
3222,0.38808012
10026,0.63154656
6068,0.5266999
1079,0.6385081
18680,0.30980375
15652,0.9709917
3847,0.6506313
6440,0.47362107
9934,0.82217044
12226,0.97634107
20785,0.6922108
7693,0.97735435
18732,0.7507341
10369,0.20847721
12221,0.6825255
3328,0.5346095
1322,0.6769722
18935,0.63972044
15926,0.44059694
12467,0.58570987
10003,0.617318
7601,0.71249
9338,0.24033548
1338,0.7883727
257,0.69401604
13569,0.94107425
3985,0.503497
15332,0.70006496
288,0.7053791
10424,0.7871627
12052,0.80135363
15894,0.45697492
3101,0.5146352
13268,0.9782005
177,0.67080504
10239,0.7710839
6141,0.67263395
6293,0.6955403
4373,0.5947714
15499,0.94553864
19423,0.7213397
7468,0.65381616
10373,0.18974793
19390,0.5651178
707,0.6490784
19484,0.66031635
18779,0.6873507
3543,0.5419633
11880,0.34704694
3791,0.5417471
49,0.6476974
18783,0.48699412
21495,0.522252
10637,0.22012876
15795,0.7608399
19429,0.80417305
19224,0.681418
13170,0.6981467
154,0.8146482
18726,0.8990046
10167,0.28148076
1707,0.62091005
19433,0.8327592
12757,0.36081383
427,0.7910357
79,0.7065766
10030,0.22948682
3429,0.5059349
15525,0.78888625
6846,0.54331666
6797,0.45728362
13434,0.8049564
19064,0.2524855
9971,0.15691787
11906,0.91719484
18026,0.6374383
13116,0.38220403
8974,0.9283655
1559,0.6051421
20945,0.4320853
18115,0.6626579
12944,0.27601248
3972,0.5405825
4659,0.5905648
16428,0.2055702
17886,0.6013807
15984,0.4900575
6735,0.7264897
1454,0.83406824
11918,0.3569151
18030,0.804045
1071,0.6629192
12759,0.8053333
4253,0.4078335
6807,0.42713454
15293,0.5319528
19173,0.79257804
20936,0.66963613
6529,0.90713906
7571,0.9059412
9445,0.2830519
13570,0.7142252
10007,0.33922923
4096,0.6365579
7597,0.3417546
4731,0.28116876
15559,0.6024959
3817,0.5030057
12032,0.37125772
10615,0.73329127
15384,0.7830392
302,0.8252782
9002,0.35023215
15754,0.95554495
16500,0.69426984
15595,0.8514463
1324,0.7312528
12364,0.94182795
12890,0.39198408
735,0.7732346
20826,0.74058753
18044,0.70667654
18496,0.3057781
4619,0.57188624
578,0.63041145
15405,0.4051579
18057,0.6489991
18051,0.74025023
13125,0.4921246
12062,0.62332904
18564,0.7280556
4339,0.42884362
18878,0.6534628
776,0.57105356
12365,0.8873304
21206,0.5662895
6376,0.70483196
306,0.7578481
8877,0.15800986
19424,0.3517135
761,0.6980391
4275,0.63170975
12779,0.921635
13405,0.88973725
603,0.7622995
15974,0.8897478
4450,0.40518084
9210,0.14185324
3409,0.58897185
9226,0.11031411
811,0.75030047
840,0.7005241
9533,0.2148723
3767,0.6311768
21521,0.6620542
18217,0.73576486
769,0.77385557
1444,0.7189994
10071,0.07107174
18751,0.8885345
3355,0.5429374
4302,0.517403
7488,0.44582906
3072,0.53259313
1064,0.8313174
4025,0.6636725
3669,0.5987816
21214,0.5667354
9973,0.16728549
9496,0.24773645
16538,0.7611077
7271,0.95284724
9047,0.20085025
5,0.76280874
21475,0.6452561
19445,0.7282954
279,0.82624745
10282,0.13235103
1544,0.7336213
16333,0.9608531
19409,0.6285243
3423,0.33029515
7387,0.94354516
10316,0.31693658
18422,0.86564326
21398,0.723899
12955,0.586877
12297,0.9603854
11938,0.834832
7314,0.7308362
16512,0.2712219
18815,0.8585594
18703,0.7156281
14854,0.580458
18556,0.65820146
7626,0.66107684
3332,0.5063357
